path_length,has_source,has_sink,is_guarded,contains_buffer_copy,contains_formatting_call,sink_kind,label,source_dataset,identifier,project,matched_source,matched_sink,line_count
80,0,0,1,0,0,0,0,devign,devign-0,FFmpeg,,,145
80,1,1,1,1,1,2,0,devign,devign-1,FFmpeg,scanf,memcpy,1763
33,0,0,1,0,0,0,0,devign,devign-2,FFmpeg,,,33
80,0,0,1,0,0,0,0,devign,devign-3,FFmpeg,,,231
39,0,1,1,1,0,2,0,devign,devign-4,FFmpeg,,memcpy,39
57,0,0,1,0,0,0,1,devign,devign-5,FFmpeg,,,57
80,0,0,1,0,0,0,1,devign,devign-6,FFmpeg,,,281
69,0,0,1,0,0,0,1,devign,devign-7,FFmpeg,,,69
9,0,0,1,0,0,0,1,devign,devign-8,qemu,,,9
55,0,0,0,0,1,0,1,devign,devign-9,qemu,,,55
7,0,0,0,0,0,0,1,devign,devign-10,qemu,,,7
15,0,0,1,0,0,0,1,devign,devign-11,FFmpeg,,,15
80,0,0,1,0,1,0,1,devign,devign-12,qemu,,,217
80,0,0,1,0,1,0,1,devign,devign-13,qemu,,,102
33,0,0,1,0,0,0,1,devign,devign-14,qemu,,,33
31,0,0,0,0,0,0,1,devign,devign-15,qemu,,,31
80,0,0,1,0,1,0,1,devign,devign-16,qemu,,,887
80,0,0,1,0,0,0,1,devign,devign-17,FFmpeg,,,111
71,0,0,1,0,0,0,1,devign,devign-18,qemu,,,71
15,0,0,0,0,0,0,0,devign,devign-19,FFmpeg,,,15
80,0,0,1,0,0,0,1,devign,devign-20,qemu,,,185
33,0,0,0,0,0,0,1,devign,devign-21,FFmpeg,,,33
17,0,0,0,0,0,0,1,devign,devign-22,qemu,,,17
80,0,0,1,0,0,0,1,devign,devign-23,qemu,,,89
71,0,0,1,0,0,0,1,devign,devign-24,qemu,,,71
80,0,0,1,0,0,0,1,devign,devign-25,qemu,,,167
80,0,0,1,0,0,0,1,devign,devign-26,FFmpeg,,,88
57,0,0,1,0,0,0,0,devign,devign-27,FFmpeg,,,57
45,0,1,1,1,0,2,0,devign,devign-28,FFmpeg,,memcpy,45
29,0,0,1,0,0,0,0,devign,devign-29,FFmpeg,,,29
80,0,0,1,0,0,0,0,devign,devign-30,FFmpeg,,,171
